TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,New This Day,Estimated,date
18,10,Demon Slayer: Kimetsu No Yaiba Infinity Castle,"$80,000",+2.1%,-78.2%,469,$170,"$136,377,141",183,Sony Pictures Releasing,False,True,2026-03-13
26,21,Nirvanna the Band the Show the Movie,"$35,000",+31%,-48.6%,77,$454,"$3,719,947",29,Neon,False,True,2026-03-13
17,39,Anaconda,"$85,000","+12,896.9%","+4,917.7%",1010,$84,"$64,676,622",79,Sony Pictures Releasing,False,True,2026-03-13
19,-,The Revenant10th Anniversary,"$75,000",-,-,900,$83,"$455,497",15,Walt Disney Studios Motion Pictures,False,True,2026-03-13
15,11,2026 Oscar Nominated Short Films,"$117,225",+60.4%,-7.9%,391,$299,"$3,368,900",22,Roadside Attractions,False,True,2026-03-13
1,-,Reminders of Him,"$8,100,000",-,-,3402,"$2,380","$8,100,000",1,Universal Pictures,True,True,2026-03-13
2,1,Hoppers,"$7,100,000",+145.6%,-47.6%,4000,"$1,775","$65,400,900",8,Walt Disney Studios Motion Pictures,False,True,2026-03-13
3,-,Undertone,"$4,374,140",-,-,2570,"$1,702","$4,374,140",1,A24,True,True,2026-03-13
4,2,Scream 7,"$2,610,000",+133.7%,-48.2%,3243,$804,"$100,807,102",15,Paramount Pictures International,False,True,2026-03-13
6,4,The Bride!,"$650,000",+72.8%,-78.3%,3304,$196,"$9,874,766",8,IMAX,False,True,2026-03-13
7,5,Wuthering Heights,"$550,000",+74%,-54.6%,1901,$289,"$80,812,077",29,Warner Bros.,False,True,2026-03-13
5,3,GOAT,"$1,225,000",+129.3%,-17.6%,2946,$415,"$87,080,936",29,Sony Pictures Releasing,False,True,2026-03-13
9,-,Teenage Mutant Ninja Turtles II: The Secret of the Ooze2026 Re-release,"$417,000",-,-,1372,$303,"$417,000",1,Fandango,True,True,2026-03-13
10,-,Slanted,"$413,185",-,-,588,$702,"$413,185",1,Bleecker Street Media,True,True,2026-03-13
11,7,Crime 101,"$315,262",+88%,-43.4%,1310,$240,"$34,737,170",29,Amazon MGM Studios,False,True,2026-03-13
12,8,I Can Only Imagine 2,"$215,000",+48.6%,-45.8%,1239,$173,"$17,118,388",22,Lionsgate,False,True,2026-03-13
13,9,Send Help,"$200,000",+59.4%,-52.8%,930,$215,"$63,517,781",43,Walt Disney Studios Motion Pictures,False,True,2026-03-13
14,6,EPiC: Elvis Presley in Concert,"$185,000",+4.8%,-51.9%,1130,$163,"$11,988,617",22,Neon,False,True,2026-03-13
8,-,Kiki's Delivery Service2026 Re-release,"$493,004",-,-,249,"$1,979","$493,004",1,GKIDS,True,False,2026-03-13
16,12,Avatar: Fire and Ash,"$105,000",+86.4%,-35.2%,430,$244,"$402,961,012",85,20th Century Studios,False,True,2026-03-13
24,24,Protector,"$66,987",+64.1%,-76.8%,1007,$66,"$1,152,980",9,Magenta Light Studios,False,True,2026-03-14
19,10,Slanted,"$123,549",-70.1%,-,588,$210,"$536,734",2,Bleecker Street Media,False,True,2026-03-14
20,21,Hamnet,"$84,000",+27.3%,-56.9%,468,$179,"$24,081,310",109,Focus Features,False,True,2026-03-14
21,22,Sirat2026 Re-release,"$84,000",+40%,-37.5%,174,$482,"$1,302,173",37,Neon,False,True,2026-03-14
22,23,Solo Mio,"$79,203",+38.7%,-64.9%,321,$246,"$25,425,647",37,Angel,False,True,2026-03-14
23,27,Marty Supreme,"$77,988",+159.9%,-23.4%,439,$177,"$95,902,865",86,A24,False,True,2026-03-14
33,33,Standout: The Ben Kjar Story,"$1,477",+50.1%,-68.4%,15,$98,"$613,027",51,-,False,True,2026-03-14
27,26,Nirvanna the Band the Show the Movie,"$50,000",+42.9%,-49%,77,$649,"$3,769,947",30,Neon,False,True,2026-03-14
28,28,How to Make a Killing,"$38,670",+33%,-75.2%,102,$379,"$7,710,595",23,A24,False,True,2026-03-14
29,30,Sentimental Value,"$25,000",+108.3%,-0.4%,140,$178,"$5,312,597",128,Neon,False,True,2026-03-14
30,29,The Secret Agent,"$20,000",-20%,-36.1%,120,$166,"$4,247,423",109,Neon,False,True,2026-03-14
31,31,Scared to Death,"$7,000",-28.2%,-,184,$38,"$16,750",2,Atlas Distribution Company,False,False,2026-03-14
32,32,The Moment,"$3,231",+11.7%,+3.5%,10,$323,"$3,884,279",44,A24,False,True,2026-03-14
18,17,Anaconda,"$135,000",+58.8%,"+5,284.9%",1010,$133,"$64,811,622",80,Sony Pictures Releasing,False,True,2026-03-14
26,19,The Revenant10th Anniversary,"$55,000",-26.7%,-,900,$61,"$510,497",16,Walt Disney Studios Motion Pictures,False,True,2026-03-14
17,18,Demon Slayer: Kimetsu No Yaiba Infinity Castle,"$147,000",+83.8%,-72.6%,469,$313,"$136,524,141",184,Sony Pictures Releasing,False,True,2026-03-14
25,25,Pillion,"$55,401",+42%,-61.4%,135,$410,"$3,521,164",37,A24,False,True,2026-03-14
15,15,2026 Oscar Nominated Short Films,"$171,911",+46.7%,-24.3%,391,$439,"$3,540,811",23,Roadside Attractions,False,True,2026-03-14
1,2,Hoppers,"$12,300,000",+73.2%,-34.8%,4000,"$3,075","$77,700,900",9,Walt Disney Studios Motion Pictures,False,True,2026-03-14
2,1,Reminders of Him,"$5,890,000",-27.3%,-,3402,"$1,731","$13,990,000",2,Universal Pictures,False,True,2026-03-14
3,4,Scream 7,"$3,700,000",+41.8%,-51.8%,3243,"$1,140","$104,507,102",16,Paramount Pictures International,False,True,2026-03-14
4,3,Undertone,"$2,886,932",-34%,-,2570,"$1,123","$7,261,072",2,A24,False,True,2026-03-14
16,20,Zootopia 2,"$150,000",+114.3%,-59.8%,535,$280,"$427,716,708",109,Walt Disney Studios Motion Pictures,False,True,2026-03-14
6,6,The Bride!,"$885,000",+36.2%,-64.6%,3304,$267,"$10,759,766",9,IMAX,False,True,2026-03-14
7,7,Wuthering Heights,"$675,000",+22.7%,-56.5%,1901,$355,"$81,487,077",30,Warner Bros.,False,True,2026-03-14
5,5,GOAT,"$2,100,000",+71.4%,-32.8%,2946,$712,"$89,180,936",30,Sony Pictures Releasing,False,True,2026-03-14
9,9,Teenage Mutant Ninja Turtles II: The Secret of the Ooze2026 Re-release,"$623,000",+49.4%,-,1372,$454,"$1,040,000",2,Fandango,False,True,2026-03-14
10,11,Crime 101,"$526,000",+66.8%,-44.5%,1310,$401,"$35,263,170",30,Amazon MGM Studios,False,True,2026-03-14
11,13,Send Help,"$325,000",+62.5%,-54.2%,930,$349,"$63,842,781",44,Walt Disney Studios Motion Pictures,False,True,2026-03-14
12,14,EPiC: Elvis Presley in Concert,"$320,050",+73%,-51.9%,1130,$283,"$12,308,667",23,Neon,False,True,2026-03-14
13,12,I Can Only Imagine 2,"$320,000",+48.8%,-52.5%,1239,$258,"$17,438,388",23,Lionsgate,False,True,2026-03-14
14,16,Avatar: Fire and Ash,"$225,000",+114.3%,-35.7%,430,$523,"$403,186,012",86,20th Century Studios,False,True,2026-03-14
8,8,Kiki's Delivery Service2026 Re-release,"$652,408",+32.3%,-,249,"$2,620","$1,145,412",2,GKIDS,False,False,2026-03-14
18,16,Zootopia 2,"$80,000",-46.7%,-61.3%,535,$149,"$427,796,708",110,Walt Disney Studios Motion Pictures,False,True,2026-03-15
19,15,2026 Oscar Nominated Short Films,"$77,360",-55%,-59.3%,391,$197,"$3,618,171",24,Roadside Attractions,False,True,2026-03-15
20,27,Nirvanna the Band the Show the Movie,"$67,500",+35%,+7.5%,77,$876,"$3,837,447",31,Neon,False,True,2026-03-15
21,23,Marty Supreme,"$58,491",-25%,-51.1%,439,$133,"$95,961,356",87,A24,False,True,2026-03-15
22,21,Sirat2026 Re-release,"$56,000",-33.3%,-42.9%,174,$321,"$1,358,173",38,Neon,False,True,2026-03-15
23,20,Hamnet,"$50,000",-40.5%,-26.9%,468,$106,"$24,131,310",110,Focus Features,False,True,2026-03-15
30,30,The Secret Agent,"$12,000",-40%,-58%,120,$100,"$4,259,423",110,Neon,False,True,2026-03-15
25,26,The Revenant10th Anniversary,"$45,000",-18.2%,-,900,$50,"$555,497",17,Walt Disney Studios Motion Pictures,False,True,2026-03-15
26,25,Pillion,"$44,321",-20%,-57.7%,135,$328,"$3,565,485",38,A24,False,True,2026-03-15
27,24,Protector,"$39,758",-40.6%,-79.2%,1007,$39,"$1,232,510",10,Magenta Light Studios,False,True,2026-03-15
28,28,How to Make a Killing,"$29,002",-25%,-73.4%,102,$284,"$7,739,597",24,A24,False,True,2026-03-15
29,29,Sentimental Value,"$15,000",-40%,-13%,140,$107,"$5,327,597",129,Neon,False,True,2026-03-15
17,18,Anaconda,"$80,000",-40.7%,"+6,229.1%",1010,$79,"$64,891,622",81,Sony Pictures Releasing,False,True,2026-03-15
24,22,Solo Mio,"$45,938",-42%,-62.9%,321,$143,"$25,471,585",38,Angel,False,True,2026-03-15
16,19,Slanted,"$80,306",-35%,-,588,$136,"$617,040",3,Bleecker Street Media,False,True,2026-03-15
8,7,Wuthering Heights,"$440,000",-34.8%,-54.2%,1901,$231,"$81,927,077",31,Warner Bros.,False,True,2026-03-15
14,14,Avatar: Fire and Ash,"$145,000",-35.6%,-32.8%,430,$337,"$403,331,012",87,20th Century Studios,False,True,2026-03-15
13,11,Send Help,"$175,000",-46.2%,-56.1%,930,$188,"$64,017,781",45,Walt Disney Studios Motion Pictures,False,True,2026-03-15
12,13,I Can Only Imagine 2,"$215,000",-32.8%,-51.8%,1239,$173,"$17,653,388",24,Lionsgate,False,True,2026-03-15
11,12,EPiC: Elvis Presley in Concert,"$240,038",-25%,-51.2%,1130,$212,"$12,548,705",24,Neon,False,True,2026-03-15
10,10,Crime 101,"$295,000",-43.9%,-44.2%,1310,$225,"$35,558,170",31,Amazon MGM Studios,False,True,2026-03-15
9,9,Teenage Mutant Ninja Turtles II: The Secret of the Ooze2026 Re-release,"$436,000",-30%,-,1372,$317,"$1,476,000",3,Fandango,False,True,2026-03-15
7,8,Kiki's Delivery Service2026 Re-release,"$523,322",-19.8%,-,249,"$2,101","$1,668,734",3,GKIDS,False,True,2026-03-15
6,6,The Bride!,"$575,000",-35%,-62.9%,3304,$174,"$11,334,766",10,IMAX,False,True,2026-03-15
5,5,GOAT,"$1,375,000",-34.5%,-26.2%,2946,$466,"$90,555,936",31,Sony Pictures Releasing,False,True,2026-03-15
4,3,Scream 7,"$2,040,000",-44.9%,-52.6%,3243,$629,"$106,547,102",17,Paramount Pictures International,False,True,2026-03-15
3,4,Undertone,"$2,078,591",-28%,-,2570,$808,"$9,339,663",3,A24,False,True,2026-03-15
2,2,Reminders of Him,"$4,260,000",-27.7%,-,3402,"$1,252","$18,250,000",3,Universal Pictures,False,True,2026-03-15
1,1,Hoppers,"$9,100,000",-26%,-29.7%,4000,"$2,275","$86,800,900",10,Walt Disney Studios Motion Pictures,False,True,2026-03-15
31,32,The Moment,"$1,992",-38.3%,-20.3%,10,$199,"$3,886,271",45,A24,False,True,2026-03-15
15,17,Demon Slayer: Kimetsu No Yaiba Infinity Castle,"$108,000",-26.5%,-74.7%,469,$230,"$136,632,141",185,Sony Pictures Releasing,False,True,2026-03-15
32,33,Standout: The Ben Kjar Story,$250,-83.1%,-53.9%,15,$16,"$613,277",52,-,False,True,2026-03-15
